team,snapshot_date,elo_rating,matches_played_total,matches_played_competitive,wins_last_5,wins_last_10,draws_last_5,draws_last_10,losses_last_5,losses_last_10,goals_scored_avg_5,goals_scored_avg_10,goals_conceded_avg_5,goals_conceded_avg_10,clean_sheets_last_10,win_pct_last_5,win_pct_last_10,form_score,goal_diff_avg_10
Libya,2026-06-11,1420,384,184,1,3,4,6,0,1,0.6,1.1,0.4,0.9,6,20.0,30.0,1.29,0.2
Gambia,2026-06-11,1419,266,110,1,4,1,2,3,4,2.8,2.2,2.4,1.6,2,20.0,40.0,0.57,0.6
Bahrain,2026-06-11,1418,583,345,2,2,0,1,3,7,1.4,0.9,2.0,1.7,1,40.0,20.0,1.29,-0.8
Gabon,2026-06-11,1401,405,196,0,3,1,2,4,5,1.4,1.8,2.4,1.9,3,0.0,30.0,0.29,-0.1
Uganda,2026-06-11,1394,685,387,1,4,1,2,3,4,1.0,1.4,2.4,1.5,3,20.0,40.0,0.71,-0.1
Niger,2026-06-11,1393,258,130,1,4,2,3,2,3,0.8,1.3,1.0,1.5,3,20.0,40.0,0.86,-0.2
Equatorial Guinea,2026-06-11,1391,178,112,1,2,1,2,3,6,0.8,0.8,1.4,1.6,1,20.0,20.0,1.14,-0.8
Trinidad and Tobago,2026-06-11,1388,752,361,0,1,2,5,3,4,1.0,1.0,3.2,2.0,2,0.0,10.0,0.43,-1.0
Madagascar,2026-06-11,1382,319,182,3,6,1,1,1,3,2.2,2.1,1.6,1.6,2,60.0,60.0,2.0,0.5
Faroe Islands,2026-06-11,1381,285,200,4,6,0,0,1,4,2.0,1.3,1.0,0.9,3,80.0,60.0,2.57,0.4
Armenia,2026-06-11,1379,270,180,0,1,0,1,5,8,0.4,0.9,3.0,3.4,0,0.0,10.0,0.0,-2.5
Thailand,2026-06-11,1376,863,279,4,8,0,0,1,2,3.0,2.4,0.8,0.7,6,80.0,80.0,2.57,1.7
North Korea,2026-06-11,1375,390,201,0,0,2,4,3,6,1.0,1.0,2.6,2.1,0,0.0,0.0,0.43,-1.1
Mozambique,2026-06-11,1372,374,246,1,3,1,1,3,6,1.2,1.0,2.2,1.8,2,20.0,30.0,0.57,-0.8
Zimbabwe,2026-06-11,1372,495,292,1,2,1,2,3,6,1.4,1.0,1.6,1.4,2,20.0,20.0,1.0,-0.4
Zambia,2026-06-11,1371,793,460,0,1,2,2,3,7,0.6,0.5,2.4,2.3,2,0.0,10.0,0.29,-1.8
Comoros,2026-06-11,1363,150,93,0,1,3,4,2,5,0.0,1.1,0.6,1.5,4,0.0,10.0,0.57,-0.4
Togo,2026-06-11,1359,445,239,2,3,2,3,1,4,0.8,0.9,0.6,1.0,4,40.0,30.0,1.71,-0.1
Kenya,2026-06-11,1356,705,369,2,4,1,2,2,4,1.0,1.4,2.4,1.8,4,40.0,40.0,1.57,-0.4
Vietnam,2026-06-11,1351,297,187,4,9,0,0,1,1,1.8,2.4,1.0,1.0,4,80.0,90.0,2.57,1.4
Sudan,2026-06-11,1350,469,321,1,2,0,1,4,7,0.6,0.5,2.2,1.7,2,20.0,20.0,0.43,-1.2
Sierra Leone,2026-06-11,1348,299,154,2,4,2,3,1,3,1.2,1.1,0.8,0.9,2,40.0,40.0,1.71,0.2
El Salvador,2026-06-11,1342,612,262,1,2,1,1,3,7,0.6,0.5,2.0,1.7,2,20.0,20.0,1.14,-1.2
Azerbaijan,2026-06-11,1340,308,172,1,1,1,3,3,6,1.8,1.1,1.8,2.0,1,20.0,10.0,1.14,-0.9
Estonia,2026-06-11,1339,548,260,1,1,2,3,2,6,1.4,0.9,2.0,2.2,1,20.0,10.0,0.86,-1.3
Guadeloupe,2026-06-11,1338,271,156,2,5,0,1,3,4,1.4,1.5,2.0,1.1,6,40.0,50.0,0.86,0.4
Rwanda,2026-06-11,1337,280,201,3,3,0,1,2,6,1.4,0.8,0.8,1.2,3,60.0,30.0,2.14,-0.4
Nicaragua,2026-06-11,1334,221,87,1,2,1,2,3,6,0.8,0.6,1.8,1.8,3,20.0,20.0,0.71,-1.2
Lebanon,2026-06-11,1332,333,183,3,5,1,3,1,2,2.0,2.1,0.4,0.5,7,60.0,50.0,1.86,1.6
Indonesia,2026-06-11,1331,726,244,1,4,1,1,3,5,1.2,1.5,1.0,1.6,5,20.0,40.0,1.0,-0.1
Kuwait,2026-06-11,1327,683,367,1,2,2,3,2,5,1.4,1.3,1.8,2.2,1,20.0,20.0,0.71,-0.9
Zanzibar,2026-06-11,1321,209,122,3,6,1,2,1,2,1.2,1.3,0.8,0.8,3,60.0,60.0,2.29,0.5
Tanzania,2026-06-11,1313,599,318,1,1,2,2,2,7,1.6,1.2,0.8,1.4,1,20.0,10.0,1.14,-0.2
Martinique,2026-06-11,1312,331,170,0,1,2,4,3,5,0.4,0.6,1.2,1.2,3,0.0,10.0,0.43,-0.6
Mauritania,2026-06-11,1311,271,126,0,1,1,4,4,5,0.4,0.5,2.0,1.2,4,0.0,10.0,0.14,-0.7
Namibia,2026-06-11,1303,279,212,0,2,1,2,4,6,0.0,0.7,2.0,1.6,3,0.0,20.0,0.29,-0.9
Cyprus,2026-06-11,1301,424,281,2,2,0,3,3,5,1.8,1.5,1.8,1.8,1,40.0,20.0,1.29,-0.3
Latvia,2026-06-11,1301,459,266,0,1,2,4,3,5,0.6,0.5,2.0,1.5,3,0.0,10.0,0.43,-1.0
Liberia,2026-06-11,1297,300,182,1,2,2,3,2,5,1.2,1.1,1.4,1.9,0,20.0,20.0,0.86,-0.8
Malaysia,2026-06-11,1293,835,234,5,7,0,2,0,1,2.4,1.9,0.4,0.6,6,100.0,70.0,3.0,1.3
Guyana,2026-06-11,1292,313,147,5,8,0,0,0,2,2.8,2.6,0.6,1.2,2,100.0,80.0,3.0,1.4
Kyrgyzstan,2026-06-11,1291,189,97,1,2,2,2,2,6,1.6,1.2,2.0,2.0,1,20.0,20.0,0.71,-0.8
Lithuania,2026-06-11,1290,431,254,1,1,1,3,3,6,0.4,0.6,1.6,1.9,3,20.0,10.0,1.0,-1.3
New Caledonia,2026-06-11,1286,264,54,2,6,1,2,2,2,1.2,2.3,1.0,1.0,4,40.0,60.0,1.43,1.3
Burundi,2026-06-11,1285,218,169,0,2,0,1,5,7,0.0,0.6,2.2,1.4,3,0.0,20.0,0.0,-0.8
Ethiopia,2026-06-11,1285,407,278,2,3,0,0,3,7,1.6,1.1,1.6,2.0,1,40.0,30.0,1.29,-0.9
Tajikistan,2026-06-11,1284,199,98,4,7,1,1,0,2,2.8,2.2,0.6,1.2,5,80.0,70.0,2.71,1.0
Dominican Republic,2026-06-11,1284,158,116,1,2,3,4,1,4,1.0,1.3,0.8,1.2,4,20.0,20.0,1.14,0.1
Botswana,2026-06-11,1267,332,188,1,2,0,1,4,7,0.2,0.6,2.0,1.8,2,20.0,20.0,0.86,-1.2
Moldova,2026-06-11,1262,297,176,0,0,1,1,4,9,0.8,0.6,2.4,3.3,0,0.0,0.0,0.14,-2.7
Guinea-Bissau,2026-06-11,1248,190,93,1,1,1,2,3,7,0.6,0.6,1.6,1.7,1,20.0,10.0,0.71,-1.1
Malawi,2026-06-11,1241,642,342,2,4,1,2,2,4,0.8,1.1,0.4,0.8,4,40.0,40.0,1.43,0.3
Cuba,2026-06-11,1239,397,237,2,3,2,2,1,5,1.6,1.0,1.0,1.9,3,40.0,30.0,1.43,-0.9
Central African Republic,2026-06-11,1238,136,80,2,2,0,1,3,7,1.0,0.6,2.4,2.2,1,40.0,20.0,1.29,-1.6
Malta,2026-06-11,1236,456,260,2,2,0,2,3,6,1.4,0.8,2.4,2.4,2,40.0,20.0,1.29,-1.6
French Guiana,2026-06-11,1223,179,113,0,3,2,2,3,5,1.4,1.7,2.0,1.5,2,0.0,30.0,0.43,0.2
Mayotte,2026-06-11,1216,38,0,2,5,2,2,1,3,1.2,1.2,0.6,0.8,4,40.0,50.0,1.43,0.4
Turkmenistan,2026-06-11,1209,175,95,4,5,0,1,1,4,2.0,1.6,1.0,1.4,2,80.0,50.0,2.57,0.2
Congo Republic,2026-06-11,1207,406,218,0,1,1,2,4,7,0.8,0.6,1.8,2.3,1,0.0,10.0,0.14,-1.7
Lesotho,2026-06-11,1205,295,172,1,3,1,2,3,5,0.4,0.7,1.4,1.8,4,20.0,30.0,0.71,-1.1
Eritrea,2026-06-11,1201,71,62,0,0,0,1,5,9,0.4,0.4,2.0,2.1,1,0.0,0.0,0.0,-1.7
Tahiti,2026-06-11,1176,241,84,3,5,0,1,2,4,1.4,1.2,1.4,1.4,4,60.0,50.0,1.71,-0.2
Philippines,2026-06-11,1167,340,151,4,6,1,3,0,1,3.0,2.1,1.0,1.1,2,80.0,60.0,2.71,1.0
Yemen,2026-06-11,1151,266,185,3,5,2,3,0,2,4.4,2.8,1.0,1.0,5,60.0,50.0,2.14,1.8
Eswatini,2026-06-11,1149,274,157,0,0,2,5,3,5,1.0,0.7,2.6,2.4,1,0.0,0.0,0.43,-1.7
Singapore,2026-06-11,1139,695,208,3,5,1,3,1,2,2.2,1.8,1.2,1.1,2,60.0,50.0,2.29,0.7
Puerto Rico,2026-06-11,1138,162,106,3,4,0,2,2,4,1.6,1.6,1.6,1.7,2,60.0,40.0,2.14,-0.1
Papua New Guinea,2026-06-11,1135,155,42,4,5,1,3,0,2,2.0,1.8,1.0,1.5,2,80.0,50.0,2.43,0.3
India,2026-06-11,1128,531,132,0,1,1,4,4,5,0.4,0.7,1.4,1.1,2,0.0,10.0,0.14,-0.4
Hong Kong,2026-06-11,1120,445,211,2,4,2,4,1,2,3.0,1.9,1.4,0.9,5,40.0,40.0,1.29,1.0
Bermuda,2026-06-11,1119,197,113,0,2,1,1,4,7,0.4,1.1,3.6,2.8,1,0.0,20.0,0.29,-1.7
Vanuatu,2026-06-11,1114,213,57,2,3,2,2,1,5,1.6,1.4,1.2,2.4,1,40.0,30.0,1.71,-1.0
South Sudan,2026-06-11,1109,78,68,0,1,2,3,3,6,0.2,0.6,2.2,2.0,2,0.0,10.0,0.43,-1.4
Fiji,2026-06-11,1108,267,72,0,1,0,4,5,5,0.0,0.9,4.4,2.9,0,0.0,10.0,0.0,-2.0
Grenada,2026-06-11,1098,260,140,1,5,0,0,4,5,0.4,1.7,2.6,2.1,3,20.0,50.0,0.43,-0.4
Andorra,2026-06-11,1076,227,162,0,0,1,3,4,7,0.0,0.3,1.6,1.8,2,0.0,0.0,0.29,-1.5
Mauritius,2026-06-11,1073,325,176,0,1,2,3,3,6,0.8,0.6,2.0,1.5,2,0.0,10.0,0.43,-0.9
Belize,2026-06-11,1073,121,65,2,3,0,1,3,6,2.0,1.5,2.0,2.7,1,40.0,30.0,0.86,-1.2
Chad,2026-06-11,1073,138,76,0,0,1,3,4,7,1.2,0.8,2.4,2.1,1,0.0,0.0,0.29,-1.3
Solomon Islands,2026-06-11,1054,214,71,0,2,0,0,5,8,1.2,1.6,4.0,2.9,0,0.0,20.0,0.0,-1.3
Saint Martin,2026-06-11,1042,68,49,3,5,0,0,2,5,1.8,1.7,1.0,1.7,3,60.0,50.0,2.14,0.0
Saint Kitts and Nevis,2026-06-11,1029,226,153,2,4,1,1,2,5,1.6,2.1,2.6,2.7,2,40.0,40.0,1.43,-0.6
Afghanistan,2026-06-11,1023,144,67,0,1,2,3,3,6,0.4,0.5,1.2,1.3,2,0.0,10.0,0.57,-0.8
Somaliland,2026-06-11,1005,6,0,2,2,0,1,3,3,2.4,2.33,3.6,3.33,1,40.0,33.3,1.29,-1.0
Saint Lucia,2026-06-11,1003,230,118,1,3,0,0,4,7,0.8,0.9,3.4,3.1,0,20.0,30.0,0.43,-2.2
Gibraltar,2026-06-11,1002,157,76,0,0,0,0,5,10,0.2,0.3,2.8,3.1,0,0.0,0.0,0.0,-2.8
Western Sahara,2026-06-11,996,9,5,2,2,0,1,3,6,2.2,1.78,4.4,4.22,1,40.0,22.2,0.86,-2.44
Myanmar,2026-06-11,982,510,138,2,3,1,2,2,5,1.0,1.1,2.0,2.2,1,40.0,30.0,1.0,-1.1
Somalia,2026-06-11,979,124,110,1,1,1,2,3,7,0.4,0.4,1.4,1.7,2,20.0,10.0,1.14,-1.3
Aruba,2026-06-11,979,151,77,3,4,1,2,1,4,2.2,1.8,1.4,2.0,2,60.0,40.0,2.29,-0.2
Sint Maarten,2026-06-11,975,60,49,3,5,2,2,0,3,1.4,1.3,0.8,2.2,4,60.0,50.0,2.14,-0.9
Montserrat,2026-06-11,971,66,65,1,2,0,0,4,8,0.4,0.6,1.4,2.0,2,20.0,20.0,0.86,-1.4
Greenland,2026-06-11,946,77,0,1,4,1,3,3,3,1.0,1.4,3.6,2.2,3,20.0,40.0,0.57,-0.8
Djibouti,2026-06-11,940,111,90,0,0,0,2,5,8,0.2,0.5,2.8,2.7,1,0.0,0.0,0.0,-2.2
Dominica,2026-06-11,934,215,114,0,1,1,4,4,5,0.6,0.7,2.4,1.8,5,0.0,10.0,0.29,-1.1
Bangladesh,2026-06-11,932,304,123,1,3,2,4,2,3,1.4,1.2,2.0,1.3,4,20.0,30.0,1.14,-0.1
Liechtenstein,2026-06-11,904,257,176,1,1,0,0,4,9,0.6,0.3,2.8,3.6,1,20.0,10.0,0.86,-3.3
Monaco,2026-06-11,903,24,4,2,3,1,2,2,5,1.0,1.3,3.2,2.9,3,40.0,30.0,1.57,-1.6
Barbados,2026-06-11,898,302,152,1,1,0,3,4,6,1.4,1.2,2.6,2.3,2,20.0,10.0,0.43,-1.1
Antigua and Barbuda,2026-06-11,894,231,168,0,0,2,2,3,8,0.2,0.3,1.4,2.2,2,0.0,0.0,0.43,-1.9
Nepal,2026-06-11,893,268,96,0,2,2,3,3,5,0.6,0.7,1.4,1.1,4,0.0,20.0,0.43,-0.4
Seychelles,2026-06-11,853,176,100,0,0,0,0,5,10,0.0,0.2,5.6,5.3,0,0.0,0.0,0.0,-5.1
Cambodia,2026-06-11,844,293,139,0,2,1,2,4,6,1.2,1.4,2.0,2.0,0,0.0,20.0,0.29,-0.6
Maldives,2026-06-11,836,231,82,1,1,1,1,3,8,0.8,0.7,1.6,2.1,1,20.0,10.0,0.57,-1.4
San Marino,2026-06-11,836,223,188,0,0,1,1,4,9,0.4,0.3,2.8,3.8,1,0.0,0.0,0.29,-3.5
Bonaire,2026-06-11,836,43,27,1,2,0,0,4,8,1.2,0.9,3.0,2.2,1,20.0,20.0,0.86,-1.3
Sri Lanka,2026-06-11,827,251,88,1,4,1,1,3,5,0.6,0.9,2.0,1.5,2,20.0,40.0,0.57,-0.6
Taiwan,2026-06-11,821,245,133,0,2,0,0,5,8,0.6,1.4,4.0,2.9,1,0.0,20.0,0.0,-1.5
Pakistan,2026-06-11,812,248,88,0,0,2,2,3,8,0.2,0.2,1.8,3.1,1,0.0,0.0,0.43,-2.9
Cayman Islands,2026-06-11,805,118,96,2,3,1,2,2,5,1.4,0.9,0.8,1.7,3,40.0,30.0,1.57,-0.8
Chagos Islands,2026-06-11,782,16,0,0,1,0,1,5,8,1.2,1.5,6.2,5.6,0,0.0,10.0,0.0,-4.1
Tuvalu,2026-06-11,756,39,0,2,2,0,1,3,7,1.6,1.3,4.2,5.6,1,40.0,20.0,1.71,-4.3
Laos,2026-06-11,734,224,116,1,1,0,2,4,7,0.6,1.1,3.2,2.9,0,20.0,10.0,0.43,-1.8
Samoa,2026-06-11,728,71,43,2,4,0,0,3,6,1.0,1.2,3.2,3.0,2,40.0,40.0,0.86,-1.8
Mongolia,2026-06-11,727,102,69,1,2,0,0,4,8,0.6,0.5,3.0,2.3,1,20.0,20.0,0.43,-1.8
British Virgin Islands,2026-06-11,727,121,86,3,3,1,2,1,5,2.8,1.6,1.2,1.5,2,60.0,30.0,2.0,0.1
Guam,2026-06-11,718,121,71,2,2,0,1,3,7,1.8,1.3,2.4,2.0,1,40.0,20.0,1.29,-0.7
Bahamas,2026-06-11,685,67,56,0,1,0,1,5,8,0.4,1.2,4.0,3.9,0,0.0,10.0,0.0,-2.7
Turks and Caicos Islands,2026-06-11,657,52,45,2,2,1,4,2,4,1.2,0.9,2.2,1.8,1,40.0,20.0,1.57,-0.9
Anguilla,2026-06-11,646,91,70,2,2,0,0,3,8,1.0,0.8,2.6,2.8,0,40.0,20.0,1.29,-2.0
Bhutan,2026-06-11,636,109,47,0,1,0,1,5,8,0.4,0.3,3.4,2.6,2,0.0,10.0,0.0,-2.3
Tibet,2026-06-11,629,21,0,0,0,1,2,4,8,2.4,1.6,4.2,4.1,0,0.0,0.0,0.14,-2.5
Cook Islands,2026-06-11,622,53,29,1,2,0,0,4,8,0.4,0.5,2.0,3.3,1,20.0,20.0,0.86,-2.8
Brunei,2026-06-11,592,137,74,1,2,0,1,4,7,0.4,0.4,3.2,2.4,2,20.0,20.0,0.43,-2.0
Falkland Islands,2026-06-11,571,33,0,0,0,1,1,4,9,0.6,0.7,3.2,3.3,0,0.0,0.0,0.29,-2.6
Marshall Islands,2026-06-11,559,2,0,0,0,0,0,2,2,1.0,1.0,3.5,3.5,0,0.0,0.0,0.0,-2.5
Kiribati,2026-06-11,544,11,0,0,0,0,1,5,9,0.4,0.7,12.8,10.2,0,0.0,0.0,0.0,-9.5
Tonga,2026-06-11,520,68,35,2,2,0,0,3,8,2.2,1.2,2.0,4.5,0,40.0,20.0,1.29,-3.3
Niue,2026-06-11,496,2,0,0,0,0,0,2,2,0.0,0.0,16.5,16.5,0,0.0,0.0,0.0,-16.5
Palau,2026-06-11,402,2,0,0,0,0,0,2,2,2.0,2.0,10.5,10.5,0,0.0,0.0,0.0,-8.5
